date,1. open,2. high,3. low,4. close,5. volume
2024-06-11,0.8211,0.87,0.8,0.82,11808.0
2024-06-10,0.849,0.8499,0.82,0.82,13849.0
2024-06-07,0.86,0.86,0.82,0.86,8909.0
2024-06-06,0.86,0.888,0.84,0.888,10650.0
2024-06-05,0.89,0.8999,0.85,0.868,28096.0
2024-06-04,0.92,0.92,0.89,0.901,8293.0
2024-06-03,0.921,0.921,0.89,0.9,15397.0
2024-05-31,0.942,0.95,0.9,0.9485,5194.0
2024-05-30,0.85,0.9157,0.85,0.9,8066.0
2024-05-29,0.801,0.8579,0.801,0.85,12048.0
2024-05-28,0.78,0.8528,0.78,0.8402,30212.0
2024-05-24,0.8799,0.8799,0.8498,0.8501,6019.0
2024-05-23,0.94,0.94,0.8799,0.8799,7044.0
2024-05-22,0.95,0.95,0.9101,0.9101,3627.0
2024-05-21,0.91,1.11,0.905,0.9501,28601.0
2024-05-20,0.91,0.9398,0.9001,0.91,8612.0
2024-05-17,0.93,0.93,0.91,0.91,3233.0
2024-05-16,0.9101,0.9199,0.9,0.9143,6558.0
2024-05-15,0.9101,0.94,0.8762,0.9303,8086.0
2024-05-14,0.83,0.97,0.83,0.9199,20600.0
2024-05-13,0.91,0.925,0.7923,0.835,38858.0
2024-05-10,0.93,0.93,0.89,0.9,4907.0
2024-05-09,0.874,0.9758,0.874,0.9023,2899.0
2024-05-08,0.92,0.92,0.8301,0.877,6859.0
2024-05-07,0.8701,0.9199,0.82,0.8562,17877.0
2024-05-06,0.9,0.9209,0.86,0.87,52316.0
2024-05-03,0.89,0.937,0.8629,0.9073,12047.0
2024-05-02,0.9,0.92,0.9,0.9008,10617.0
2024-05-01,0.9,0.9,0.89,0.8999,9155.0
2024-04-30,0.9,0.9,0.87,0.89,11322.0
2024-04-29,0.91,0.91,0.87,0.87,14540.0
2024-04-26,0.8901,0.9,0.8615,0.87,8587.0
2024-04-25,0.87,0.92,0.87,0.8801,11876.0
2024-04-24,0.891,0.93,0.87,0.87,6307.0
2024-04-23,0.9598,0.9806,0.89,0.8906,16889.0
2024-04-22,0.99,1.01,0.87,0.89,12642.0
2024-04-19,1.03,1.03,0.9167,0.97,11407.0
2024-04-18,0.98,1.04,0.9101,1.03,20914.0
2024-04-17,0.9782,0.9782,0.9463,0.9747,3226.0
2024-04-16,0.8554,0.973,0.8554,0.8843,18385.0
2024-04-15,0.94,0.94,0.8508,0.86,19111.0
2024-04-12,1.01,1.06,0.88,0.92,143446.0
2024-04-11,1.1,1.1013,1.01,1.04,68356.0
2024-04-10,1.1499,1.1499,1.06,1.07,33881.0
2024-04-09,1.06,1.16,1.011,1.05,64765.0
2024-04-08,1.02,1.13,1.02,1.07,11390.0
2024-04-05,1.08,1.1,1.0055,1.0601,48170.0
2024-04-04,1.01,1.136,0.93,1.075,82824.0
2024-04-03,1.0124,1.0197,1.0,1.01,15933.0
2024-04-02,1.0,1.04,1.0,1.015,10584.0
2024-04-01,1.08,1.0999,1.0,1.0,11678.0
2024-03-28,1.06,1.13,1.05,1.06,12429.0
2024-03-27,1.16,1.17,1.02,1.115,55631.0
2024-03-26,1.08,1.08,1.01,1.02,7329.0
2024-03-25,1.08,1.164,1.06,1.06,4443.0
2024-03-22,1.18,1.18,1.0,1.08,77614.0
2024-03-21,1.18,1.28,1.1,1.16,73221.0
2024-03-20,1.15,1.33,1.1,1.27,56256.0
2024-03-19,1.55,1.6071,1.1,1.4,73494.0
2024-03-18,1.65,1.65,1.4,1.55,44957.0
2024-03-15,1.46,1.6499,1.4501,1.579,73529.0
2024-03-14,1.565,1.6099,1.565,1.6098,19488.0
2024-03-13,1.59,1.6,1.57,1.59,24876.0
2024-03-12,1.63,1.63,1.53,1.59,13694.0
2024-03-11,1.53,1.63,1.53,1.59,20386.0
2024-03-08,1.54,1.57,1.45,1.57,23391.0
2024-03-07,1.56,1.57,1.42,1.5097,38127.0
2024-03-06,1.54,1.64,1.45,1.61,54762.0
2024-03-05,1.43,1.49,1.42,1.4599,15670.0
2024-03-04,1.55,1.55,1.4,1.49,69138.0
2024-03-01,1.37,1.42,1.03,1.41,115083.0
2024-02-29,1.16,1.38,1.16,1.29,65366.0
2024-02-28,1.18,1.25,1.18,1.24,8370.0
2024-02-27,1.215,1.2564,1.1901,1.235,5801.0
2024-02-26,1.21,1.26,1.19,1.24,18778.0
2024-02-23,1.22,1.329,1.2,1.22,8171.0
2024-02-22,1.34,1.34,1.34,1.34,1435.0
2024-02-21,1.253,1.34,1.253,1.34,6388.0
2024-02-20,1.38,1.4189,1.31,1.3406,9245.0
2024-02-16,1.39,1.5,1.3218,1.46,39354.0
2024-02-15,1.44,1.45,1.395,1.4297,68202.0
2024-02-14,1.3,1.48,1.27,1.45,64196.0
2024-02-13,1.25,1.3,1.25,1.3,15216.0
2024-02-12,1.28,1.3,1.19,1.28,23538.0
2024-02-09,1.19,1.29,1.13,1.25,23289.0
2024-02-08,1.17,1.18,1.1499,1.18,15145.0
2024-02-07,1.09,1.2,1.09,1.16,62496.0
2024-02-06,1.08,1.1,1.08,1.1,10212.0
2024-02-05,1.07,1.08,0.9524,1.08,2116.0
2024-02-02,1.08,1.09,1.0682,1.08,6568.0
2024-02-01,1.1,1.1,1.04,1.1,12930.0
2024-01-31,1.08,1.1,1.08,1.09,1452.0
2024-01-30,1.08,1.11,1.08,1.08,7566.0
2024-01-29,1.1,1.1058,1.07,1.095,4311.0
