date,1. open,2. high,3. low,4. close,5. volume
2024-06-11,40.25,40.46,39.56,40.21,3520311.0
2024-06-10,41.0,41.59,40.64,41.16,2950620.0
2024-06-07,41.6,41.8688,40.42,40.91,3982794.0
2024-06-06,42.51,43.005,42.293,42.65,3154841.0
2024-06-05,41.85,42.74,41.78,42.59,3355544.0
2024-06-04,43.01,43.2798,41.28,42.01,6500590.0
2024-06-03,44.66,44.96,43.7501,44.01,3887113.0
2024-05-31,44.76,45.46,43.3,44.27,4527342.0
2024-05-30,43.29,45.48,43.18,44.54,5824970.0
2024-05-29,42.47,44.01,42.27,43.93,5275412.0
2024-05-28,42.8,43.6,42.4358,43.2,7888482.0
2024-05-24,41.59,42.13,41.36,41.64,2921734.0
2024-05-23,42.2,42.2554,40.33,41.05,4764061.0
2024-05-22,42.97,42.97,41.8,42.15,6324183.0
2024-05-21,42.27,44.57,42.18,44.09,9390676.0
2024-05-20,41.17,42.84,41.02,42.53,7220293.0
2024-05-17,40.74,41.55,40.66,41.22,4260672.0
2024-05-16,40.0,40.8,39.8,40.15,3743650.0
2024-05-15,40.4,40.5,39.07,40.04,5737070.0
2024-05-14,40.38,40.84,39.509,39.83,5399150.0
2024-05-13,37.65,40.31,37.58,40.16,8841687.0
2024-05-10,37.63,37.78,36.86,37.12,4540832.0
2024-05-09,36.86,37.69,36.47,37.36,4988988.0
2024-05-08,36.7,36.96,36.3,36.64,4058778.0
2024-05-07,37.17,37.79,37.13,37.57,3073877.0
2024-05-06,37.33,37.9383,37.005,37.32,3769492.0
2024-05-03,36.7,37.2,36.25,36.77,5496634.0
2024-05-02,34.11,35.975,34.025,35.94,5784373.0
2024-05-01,35.2,35.47,33.88,34.25,8387860.0
2024-04-30,36.76,36.92,35.11,35.14,7992998.0
2024-04-29,36.88,38.2,36.65,37.65,5738173.0
2024-04-26,36.51,37.39,36.23,36.88,5653338.0
2024-04-25,35.86,36.06,34.78,35.94,4467443.0
2024-04-24,35.96,36.55,35.74,36.08,5706785.0
2024-04-23,35.0,36.3948,34.51,36.06,7574373.0
2024-04-22,35.73,36.64,35.25,36.35,7838898.0
2024-04-19,35.2,36.44,35.06,35.53,8016819.0
2024-04-18,35.51,36.4,33.84,35.47,11608374.0
2024-04-17,37.16,37.48,35.21,35.55,12618849.0
2024-04-16,35.15,36.3393,35.05,36.09,7126858.0
2024-04-15,37.0,37.59,36.465,36.57,9916287.0
2024-04-12,37.47,38.03,34.96,35.2,7488668.0
2024-04-11,36.16,36.69,35.75,36.23,4244764.0
2024-04-10,35.71,36.66,35.3,36.19,5437519.0
2024-04-09,37.1,37.47,36.28,36.82,4730194.0
2024-04-08,36.91,37.145,36.21,36.34,4688980.0
2024-04-05,35.77,36.72,35.6453,36.49,4468868.0
2024-04-04,37.3,37.67,35.83,35.95,8939112.0
2024-04-03,35.9,37.545,35.76,37.18,10521926.0
2024-04-02,34.06,35.75,33.82,35.64,8169343.0
2024-04-01,34.1,34.36,33.51,34.02,4244112.0
2024-03-28,33.24,33.965,33.2,33.79,6147050.0
2024-03-27,31.72,33.23,31.67,33.21,6438969.0
2024-03-26,32.32,32.32,31.23,31.58,3764994.0
2024-03-25,31.57,32.3,31.5,31.86,4744964.0
2024-03-22,31.0,31.525,30.84,31.4,4334930.0
2024-03-21,31.71,32.13,31.05,31.35,5594696.0
2024-03-20,29.63,31.88,29.52,31.35,7446940.0
