date,1. open,2. high,3. low,4. close,5. volume
2024-06-07,11.4003,11.48,11.4003,11.48,5952.0
2024-06-06,11.3724,11.51,11.25,11.46,77735.0
2024-06-05,11.5,11.59,11.42,11.5,13444.0
2024-06-04,11.465,11.52,11.38,11.4,1612.0
2024-06-03,11.46,11.485,11.374,11.38,7332.0
2024-05-31,11.5,11.55,11.41,11.55,64876.0
2024-05-30,11.42,11.49,11.42,11.49,5165.0
2024-05-29,11.35,11.47,11.35,11.3642,3679.0
2024-05-28,11.45,11.45,11.35,11.37,14307.0
2024-05-24,11.415,11.46,11.4075,11.46,6831.0
2024-05-23,11.45,11.4501,11.31,11.45,16905.0
2024-05-22,11.4498,11.4498,11.4498,11.4498,459.0
2024-05-21,11.45,11.4874,11.42,11.4874,16508.0
2024-05-20,11.35,11.4446,11.35,11.4,30574.0
2024-05-17,11.375,11.47,11.35,11.4599,30112.0
2024-05-16,11.4722,11.4722,11.35,11.35,1454.0
2024-05-15,11.4886,11.4886,11.35,11.37,31365.0
2024-05-14,11.5,11.5,11.35,11.4,39307.0
2024-05-13,11.67,11.7,11.38,11.5,42725.0
2024-05-10,11.75,11.8,11.35,11.41,47744.0
2024-05-09,11.715,12.49,11.35,11.9797,76634.0
2024-05-08,11.5361,11.75,11.5002,11.68,8309.0
2024-05-07,11.6676,11.85,11.65,11.65,12957.0
2024-05-06,11.84,11.88,11.6,11.802,13758.0
2024-05-03,11.7845,11.7845,11.52,11.75,11187.0
2024-05-02,11.8899,11.8899,11.5037,11.62,4897.0
2024-05-01,11.51,11.9952,11.49,11.63,4955.0
2024-04-30,11.8,11.8,11.5,11.56,19318.0
2024-04-29,11.65,11.825,11.41,11.7107,82070.0
2024-04-26,11.41,11.54,11.3,11.53,36228.0
2024-04-25,11.3,11.67,11.3,11.5801,14399.0
2024-04-24,11.32,11.58,11.26,11.5001,45624.0
2024-04-23,11.16,11.35,11.16,11.27,433222.0
2024-04-22,11.17,11.275,11.14,11.14,95702.0
2024-04-19,11.15,11.15,11.13,11.13,54710.0
2024-04-18,11.17,11.17,11.17,11.17,118.0
2024-04-17,11.2,11.2,11.17,11.17,3261.0
2024-04-16,11.17,11.17,11.17,11.17,51491.0
2024-04-15,11.275,11.2801,11.275,11.2801,1442.0
2024-04-12,11.12,11.13,11.11,11.12,7938.0
2024-04-11,11.31,11.35,11.13,11.35,3262.0
2024-04-10,11.15,11.22,11.15,11.22,3232.0
2024-04-09,11.9,11.9,11.4,11.4,3535.0
2024-04-08,11.45,11.85,11.45,11.85,12800.0
2024-04-05,11.35,11.35,11.18,11.29,5660.0
2024-04-04,11.4746,11.625,11.3,11.4,24785.0
2024-04-03,11.4,11.475,11.4,11.475,1352.0
2024-04-02,11.09,11.1601,11.09,11.1601,225.0
2024-04-01,11.6,11.88,11.06,11.06,2958.0
2024-03-28,11.4,12.53,11.01,11.08,17182.0
2024-03-27,11.5,11.5,11.16,11.17,2847.0
2024-03-26,11.06,11.07,11.04,11.07,6393.0
2024-03-25,11.01,11.06,11.01,11.06,2475.0
2024-03-22,11.01,11.01,11.01,11.01,23.0
2024-03-21,11.0699,11.0737,11.0,11.01,70616.0
2024-03-20,11.1,11.1,11.0506,11.06,7805.0
2024-03-19,11.17,11.25,11.1,11.1,7628.0
2024-03-18,11.22,11.963,11.0,11.1,20794.0
2024-03-15,11.0497,11.05,11.02,11.0499,7173.0
2024-03-14,10.99,10.99,10.99,10.99,22.0
2024-03-13,10.99,10.99,10.99,10.99,15.0
2024-03-12,10.99,10.99,10.99,10.99,452.0
2024-03-11,10.98,10.98,10.98,10.98,1.0
2024-03-08,10.98,10.98,10.98,10.98,307.0
2024-03-07,10.98,10.98,10.98,10.98,2.0
2024-03-06,10.98,10.98,10.98,10.98,500.0
2024-03-05,10.98,10.98,10.98,10.98,24.0
2024-03-04,11.0197,11.0197,10.98,10.98,310.0
2024-03-01,10.98,10.98,10.98,10.98,110.0
2024-02-29,10.99,10.99,10.99,10.99,4.0
2024-02-28,10.99,10.99,10.99,10.99,5.0
2024-02-27,10.99,10.99,10.99,10.99,2.0
2024-02-26,10.99,10.99,10.99,10.99,717.0
2024-02-23,10.99,10.99,10.99,10.99,74.0
2024-02-22,11.05,11.05,10.99,10.99,551.0
2024-02-21,11.05,11.05,11.035,11.05,556.0
2024-02-20,10.98,10.98,10.98,10.98,33.0
2024-02-16,10.91,10.98,10.91,10.98,509.0
2024-02-15,10.95,10.95,10.95,10.95,23.0
2024-02-14,10.95,10.95,10.95,10.95,284.0
2024-02-13,11.0,11.0,11.0,11.0,149.0
2024-02-12,10.95,10.95,10.9,10.9,900.0
2024-02-09,10.9,10.9,10.9,10.9,10688.0
2024-02-08,11.0,11.0,10.94,10.94,31351.0
2024-02-07,10.95,11.05,10.95,11.05,10600.0
2024-02-06,10.93,10.95,10.93,10.94,28796.0
2024-02-05,10.91,10.9101,10.91,10.9101,7822.0
2024-02-02,10.9,10.92,10.9,10.92,100395.0
2024-02-01,10.89,10.89,10.89,10.89,65.0
2024-01-31,10.89,10.89,10.89,10.89,3.0
2024-01-30,10.89,10.89,10.89,10.89,203.0
2024-01-29,10.89,10.89,10.89,10.89,1111.0
2024-01-26,10.9,10.9,10.9,10.9,6.0
2024-01-25,10.9,10.9,10.9,10.9,2.0
2024-01-24,10.9,10.9,10.9,10.9,124.0
2024-01-23,10.8901,10.902,10.8901,10.902,399.0
2024-01-22,10.9199,10.92,10.9,10.9,22800.0
2024-01-19,10.89,10.89,10.89,10.89,1.0
2024-01-18,10.89,10.89,10.89,10.89,37.0
2024-01-17,10.89,10.89,10.89,10.89,10014.0
2024-01-16,10.9,10.9,10.88,10.88,51523.0
2024-01-12,10.9,10.9,10.9,10.9,144.0
2024-01-11,10.9,10.9,10.9,10.9,1.0
2024-01-10,10.9,10.9,10.9,10.9,369.0
2024-01-09,10.9,10.93,10.86,10.86,815.0
2024-01-08,10.85,10.92,10.84,10.85,188151.0
2024-01-05,10.84,10.84,10.84,10.84,11.0
2024-01-04,10.84,10.84,10.84,10.84,12047.0
2024-01-03,10.84,10.84,10.83,10.83,13059.0
2024-01-02,10.78,10.82,10.78,10.82,34800.0
2023-12-29,10.77,10.77,10.77,10.77,660.0
2023-12-28,10.72,10.72,10.72,10.72,12.0
2023-12-27,10.72,10.72,10.72,10.72,11.0
2023-12-26,10.72,10.72,10.72,10.72,13.0
2023-12-22,10.72,10.72,10.72,10.72,11.0
2023-12-21,10.72,10.73,10.71,10.72,9309.0
2023-12-20,10.74,10.74,10.74,10.74,3.0
2023-12-19,10.74,10.74,10.74,10.74,15.0
2023-12-18,10.74,10.74,10.74,10.74,36.0
2023-12-15,10.74,10.74,10.74,10.74,29.0
2023-12-14,10.76,10.78,10.74,10.74,2055.0
2023-12-13,10.79,10.79,10.76,10.77,16621.0
2023-12-12,10.79,10.79,10.79,10.79,4527.0
